volume (ml),Absorbance (mAU),volume (mL),Buffer B Concentration (%)
2.541309,39.425629,25.407957,0
2.54496,39.377003,25.444462,0
2.548612,39.372524,25.480968,0
2.552263,39.376766,25.517473,0
2.555914,39.423977,25.55398,0
2.559566,39.473148,25.590485,0
2.563217,39.52676,25.626991,0
2.566868,39.490101,25.663496,0
2.57052,39.356865,25.700001,0
2.574171,39.219738,25.736507,0
2.577822,39.080589,25.773012,0
2.581474,38.99297,25.809519,0
2.585125,38.916264,25.846024,0
2.588776,38.897587,25.88253,0
2.592427,38.876617,25.919035,0
2.596079,38.845901,25.955542,0
2.59973,38.807098,25.992046,0
2.603381,38.753067,26.028553,0
2.607033,38.654545,26.065058,0
2.610684,38.514996,26.101564,0
2.614335,38.403397,26.138069,0
2.617987,38.304043,26.174576,0
2.621638,38.224945,26.211081,0
2.625289,38.153599,26.247587,0
2.628941,38.167656,26.284092,0
2.632592,38.176086,26.320599,0
2.636243,38.165791,26.357103,0
2.639894,38.164928,26.39361,0
2.643546,38.177605,26.430115,0
2.647197,38.155125,26.466621,0
2.650848,38.108002,26.503126,0
2.6545,38.080875,26.539633,0
2.658151,38.060505,26.576138,0
2.661802,38.110237,26.612644,0
2.665454,38.164825,26.649149,0
2.669105,38.215786,26.685656,0
2.672756,38.224442,26.72216,0
2.676408,38.124783,26.758667,0
2.680059,38.002186,26.795172,0
2.68371,37.852428,26.831678,0
2.687361,37.724358,26.868183,0
2.691013,37.608574,26.90469,0
2.694664,37.546684,26.941195,0
2.698315,37.496925,26.977701,0
2.701967,37.491852,27.014206,0
2.705618,37.479965,27.050713,0
2.709269,37.428619,27.087217,0
2.712921,37.365433,27.123724,0
2.716572,37.277687,27.160229,0
2.720223,37.174255,27.196735,0
2.723875,37.055313,27.23324,0
2.727526,36.965088,27.269747,0
2.731177,36.888332,27.306252,0
2.734828,36.891487,27.342758,0
2.73848,36.906689,27.379263,0
2.742131,36.8904,27.41577,0
2.745782,36.874043,27.452274,0
2.749434,36.857414,27.488781,0
2.753085,36.823582,27.525286,0
2.756736,36.763081,27.561792,0
2.760387,36.721943,27.598297,0
2.764039,36.696396,27.634804,0
2.76769,36.761124,27.671309,0
2.771342,36.858753,27.707815,0
2.774993,36.906391,27.74432,0
2.778644,36.93816,27.780827,0
2.782295,36.853111,27.817331,0
2.785947,36.76342,27.853838,0
2.789598,36.660755,27.890343,0
2.793249,36.549805,27.926849,0
2.796901,36.428459,27.963354,0
2.800552,36.335468,27.999861,0
2.804203,36.259567,28.036366,0
2.807854,36.184139,28.07287,0
2.811506,36.108826,28.109377,0
2.815157,36.042065,28.145882,0
2.818809,35.977158,28.182388,0
2.82246,35.921951,28.218893,0
2.826111,35.836578,28.2554,0
2.829762,35.683632,28.291904,0
2.833414,35.562298,28.328411,0
2.837065,35.474602,28.364916,0
2.840716,35.423939,28.401423,0
2.844368,35.392178,28.437927,0
2.848019,35.361366,28.474434,0
2.85167,35.331936,28.510939,0
2.855321,35.3629,28.547445,0
2.858973,35.383682,28.58395,0
2.862624,35.362862,28.620457,0
2.866275,35.340912,28.656961,0
2.869927,35.316944,28.693468,0
2.873578,35.352631,28.729973,0
2.877229,35.439091,28.766479,0
2.880881,35.433411,28.802984,0
2.884532,35.391068,28.839491,0
2.888183,35.289364,28.875996,0
2.891834,35.178516,28.912502,0
2.895486,35.042027,28.949007,0
2.899137,34.900513,28.985514,0
2.902788,34.742729,29.022018,0
2.90644,34.622677,29.058525,0
2.910091,34.556114,29.09503,0
2.913742,34.506794,29.131536,0
2.917394,34.469353,29.168041,0
2.921045,34.426582,29.204548,0
2.924696,34.38203,29.241053,0
2.928348,34.34026,29.277559,0
2.931999,34.283501,29.314064,0
2.93565,34.086544,29.350571,0
2.939301,33.921669,29.387075,0
2.942953,33.841106,29.423582,0
2.946604,33.788116,29.460087,0
2.950255,33.768135,29.496593,0
